type,properties.streamorder,properties.streamID,properties.followingStreamID,properties.id,geometry.type,geometry.coordinates
Feature,2,2776,2705,2776_2,Point,-73.13358130855315;10.438289686918596
Feature,2,2776,2705,2776_3,Point,-73.13468258390735;10.4442116392266
Feature,1,2777,2775,2777_1,Point,-73.131240287891;10.448038661353834
Feature,1,2777,2775,2777_2,Point,-73.13305974393744;10.44922448750057
Feature,1,2779,2726,2779_1,Point,-73.12273857804341;10.525188147605254
Feature,1,2779,2726,2779_2,Point,-73.12382488900207;10.526821732709905
Feature,1,2796,2775,2796_1,Point,-73.12884477039631;10.451550140556085
Feature,1,2796,2775,2796_2,Point,-73.129399751299;10.450378222705769
Feature,2,2806;3050;3051,2703,2806_1,Point,-73.10435647975291;10.468671311007444
Feature,2,2806,2703,2806_2,Point,-73.1088821113848;10.473386612395124
Feature,2,2806,2703,2806_3,Point,-73.1140023766611;10.476670555969145
Feature,2,2806,2703,2806_4,Point,-73.12065747536263;10.476542095455313
Feature,3,2820;7525;7526,2726,2820_1,Point,-72.9218203570793;10.45099165946171
Feature,3,2820,2726,2820_2,Point,-72.92785883989812;10.455369550339112
Feature,3,2820,2726,2820_3,Point,-72.93261925068883;10.461243456481602
Feature,3,2820,2726,2820_4,Point,-72.93496108465358;10.468719451254326
Feature,3,2820,2726,2820_5,Point,-72.94260081342844;10.470288707217314
Feature,3,2820,2726,2820_6,Point,-72.94979232571173;10.473145439185025
Feature,3,2820,2726,2820_7,Point,-72.95634445921557;10.476332235138448
Feature,3,2820,2726,2820_8,Point,-72.96393501939825;10.477837776286984
Feature,3,2820,2726,2820_9,Point,-72.97199188481693;10.477798838831841
Feature,3,2820,2726,2820_10,Point,-72.97943683283867;10.475884318596808
Feature,3,2820,2726,2820_11,Point,-72.98711741820951;10.474279255785275
Feature,3,2820,2726,2820_12,Point,-72.99450754375889;10.475109413133302
Feature,3,2820,2726,2820_13,Point,-73.00181113555497;10.478154962344151
Feature,3,2820,2726,2820_14,Point,-73.00407161267053;10.483807279664669
Feature,3,2820,2726,2820_15,Point,-73.00803321403298;10.489346776996346
Feature,3,2820,2726,2820_16,Point,-73.01177951106982;10.494150376049967
Feature,3,2820,2726,2820_17,Point,-73.01367662056703;10.50152708522598
Feature,3,2820,2726,2820_18,Point,-73.01692943540918;10.507862730860252
Feature,3,2820,2726,2820_19,Point,-73.02272698181766;10.5078632260797
Feature,3,2820,2726,2820_20,Point,-73.0305757375816;10.508367182305035
Feature,3,2820,2726,2820_21,Point,-73.03644968178448;10.506668821643228
Feature,3,2820,2726,2820_22,Point,-73.0423981193329;10.503188361851338
Feature,3,2820,2726,2820_23,Point,-73.04955802485637;10.502238099974873
Feature,3,2820,2726,2820_24,Point,-73.057332257933;10.501020245472121
Feature,3,2820,2726,2820_25,Point,-73.06439438406396;10.503487262180322
Feature,3,2820,2726,2820_26,Point,-73.06995892161252;10.507967242583067
Feature,3,2820,2726,2820_27,Point,-73.075355899434;10.509898315393771
Feature,3,2820,2726,2820_28,Point,-73.08051297094082;10.514102763907678
Feature,3,2820,2726,2820_29,Point,-73.08646487925773;10.516085906334764
Feature,3,2820,2726,2820_30,Point,-73.09095090810808;10.51894170779154
Feature,3,2820,2726,2820_31,Point,-73.09471771115332;10.521426416907405
Feature,3,2820,2726,2820_32,Point,-73.0991778310182;10.52587248959311
Feature,3,2820,2726,2820_33,Point,-73.10480926382252;10.52762251072583
Feature,3,2820,2726,2820_34,Point,-73.111264566404;10.530430113664833
Feature,3,2820,2726,2820_35,Point,-73.11828955107042;10.5311279579264
Feature,3,2820,2726,2820_36,Point,-73.11886258730004;10.531673744401493
Feature,1,2824,2751,2824_1,Point,-73.11061157151333;10.506494350648943
Feature,1,2824,2751,2824_2,Point,-73.11647433906226;10.505344300025639
Feature,1,2824,2751,2824_3,Point,-73.12196612459171;10.50186108220713
Feature,1,2843,2775,2843_1,Point,-73.12622524190004;10.431466449470427
Feature,1,2843,2775,2843_2,Point,-73.12435843777327;10.43820389217897
Feature,1,2843,2775,2843_3,Point,-73.12432185569283;10.44430523230045
Feature,1,2843,2775,2843_4,Point,-73.12512432445281;10.447550794945542
Feature,2,2850;3105;3106,2703,2850_1,Point,-73.09704058754208;10.485170186934285
Feature,2,2850,2703,2850_2,Point,-73.10361850407016;10.484889486845466
Feature,2,2850,2703,2850_3,Point,-73.11020100378818;10.483855194844287
Feature,2,2850,2703,2850_4,Point,-73.11648654326447;10.480531304761488
Feature,2,2851;3100;3102,2703,2851_1,Point,-73.09764236581798;10.491320727560447
Feature,2,2851,2703,2851_2,Point,-73.1040057101815;10.490183598230344
Feature,2,2851,2703,2851_3,Point,-73.11038248781637;10.490723881128476
Feature,2,2851,2703,2851_4,Point,-73.11593351644295;10.485654960483023
Feature,1,2858,2750,2858_1,Point,-73.10163380222625;10.510779800148821
Feature,1,2858,2750,2858_2,Point,-73.10893793289799;10.511275770824291
Feature,1,2858,2750,2858_3,Point,-73.11444316216861;10.511850553760492
Feature,1,2859,2750,2859_1,Point,-73.1163062460456;10.516381470138368
Feature,1,2868,2775,2868_1,Point,-73.11415085318734;10.449926854733228
Feature,1,2869,2775,2869_1,Point,-73.11602579331833;10.441892573538006
Feature,1,2869,2775,2869_2,Point,-73.11862463315121;10.447587787550727
Feature,1,2881,2850,2881_1,Point,-73.10044911079865;10.480399559659652
Feature,1,2881,2850,2881_2,Point,-73.10719805085381;10.483324640461573
Feature,1,2881,2850,2881_3,Point,-73.11332559830943;10.480691489130907
Feature,1,2881,2850,2881_4,Point,-73.11368840044393;10.481111113001985
Feature,2,2893;3302;3303,2840,2893_1,Point,-73.07722936804625;10.528079071685976
Feature,2,2893,2840,2893_2,Point,-73.08220041262365;10.533422694138457
Feature,2,2893,2840,2893_3,Point,-73.08920183441542;10.534979078494056
Feature,2,2893,2840,2893_4,Point,-73.09645072901839;10.536729075335826
Feature,2,2893,2840,2893_5,Point,-73.09836204930703;10.537879015459806
Feature,2,2918;3236;3237,2706,2918_1,Point,-73.10328560866007;10.449500855580487
Feature,2,2918,2706,2918_2,Point,-73.10854960762698;10.454683201797344
Feature,2,2918,2706,2918_3,Point,-73.1116345994486;10.459846222811398
Feature,2,2919;3064;3065,2706,2919_1,Point,-73.10339087208;10.462247405243922
Feature,2,2919,2706,2919_2,Point,-73.10913517015102;10.460999121191723
Feature,1,2945,2820,2945_1,Point,-73.07661741680991;10.523646004103886
Feature,1,2945,2820,2945_2,Point,-73.08391458962748;10.52271200969671
Feature,1,2945,2820,2945_3,Point,-73.09106735299277;10.525541293704821
Feature,1,2945,2820,2945_4,Point,-73.09745575504346;10.527148839297057
Feature,1,2945,2820,2945_5,Point,-73.1014352206043;10.528315475752095
Feature,2,2971;7029;7030,2967,2971_1,Point,-72.93820635811973;10.51391767469085
Feature,2,2971,2967,2971_2,Point,-72.9456890104142;10.510290913342047
Feature,2,2971,2967,2971_3,Point,-72.95226672013851;10.506325736056679
Feature,2,2971,2967,2971_4,Point,-72.95804338304677;10.51033351678533
Feature,2,2971,2967,2971_5,Point,-72.96517235293884;10.513911056877244
Feature,2,2971,2967,2971_6,Point,-72.97202175320987;10.510756315695165
